数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,心率(beats/min),心率单位,心率.测量开始时间,心率.测量结束时间,心率.测量时间,心率.统计描述,心率.身体活动状态,心率.睡眠状态,心率.用户备注,外部ID,元数据版本
eceff2e75b1b4a9ebf2e73319204d99e,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,100,beats/min,,,2025-04-17 23:33:09, , , , ,71B,1
8f8d0a592dbd470987d921045da3876d,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,101,beats/min,,,2025-04-17 23:33:14, , , , ,71B,1
ae384ed4ed1947e192fbac9238bc44c2,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,98,beats/min,,,2025-04-17 23:32:48, , , , ,71B,1
6eacc5ad94534b4eb50c99e04669a24a,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,98,beats/min,,,2025-04-17 23:32:58, , , , ,71B,1
74b0b6a7342544d09e92f2fe84caa0c3,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,98,beats/min,,,2025-04-17 23:32:53, , , , ,71B,1
52b35696b04c4a349ea0c8b03376ff27,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,100,beats/min,,,2025-04-17 23:33:04, , , , ,71B,1
c75566aff68349d18a70089d4ed63814,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,98,beats/min,,,2025-04-17 23:32:43, , , , ,71B,1
77f45711ef084cfebf734b84608d6140,ff204ebb74b94e37bb0debe1fcf2807d,8b37a9ee26e2447196a45c8ec0e2495c,2025-04-17 23:33:17,2025-04-17 23:32:27,96,beats/min,,,2025-04-17 23:32:38, , , , ,71B,1
fc98715354c54b7a832be3c99577051d,ff204ebb74b94e37bb0debe1fcf2807d,1ffac893a3de42658142ab1144084ffc,2025-04-17 23:32:21,2025-04-17 23:32:13,100,beats/min,,,2025-04-17 23:32:17, , , , ,71B,1
239ec1fbd62c4234a4fd8599ed52c84c,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,112,beats/min,,,2025-04-07 09:45:44, , , , ,1,1
cd3efee9ef4d4189a65f9dbbba21cff2,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,116,beats/min,,,2025-04-07 09:45:39, , , , ,1,1
b1a038bcf4d64fc09bac66c7e9fdf1b3,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,108,beats/min,,,2025-04-07 09:44:54, , , , ,1,1
8bc92c9dc8cc4b2f86bf07af837c1757,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,112,beats/min,,,2025-04-07 09:45:19, , , , ,1,1
0febe9c8e92a43239f5886dda2d598e1,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,110,beats/min,,,2025-04-07 09:45:24, , , , ,1,1
50776eeeacb54d1fb33b0dd95d1a86f7,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,106,beats/min,,,2025-04-07 09:45:09, , , , ,1,1
172453c4f8bc4ded9fb7693eb67f246b,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,111,beats/min,,,2025-04-07 09:45:34, , , , ,1,1
e6a614dd16fb4141be9b5d9048bb6dda,ff204ebb74b94e37bb0debe1fcf2807d,d351d231f9c142dd992cc4790111b4bd,2025-04-07 09:46:04,2025-04-07 09:42:38,112,beats/min,,,2025-04-07 09:45:29, , , , ,1,1
